file,class,std,autocorr,entropy,f0
../data/addr_010000/samples/audios/raw_audio/1_raw_audio_0010000.wav,audio,24564.9,0.961,1.0,204.6
../data/addr_010000/samples/audios/raw_audio/2_raw_audio_8bit_be.wav,audio,13252.2,0.466,5.68,2641.4
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_0.wav,audio,22387.9,0.973,5.17,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_64.wav,audio,25519.3,0.971,4.91,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_128.wav,audio,19258.0,0.982,5.43,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_192.wav,audio,15133.4,0.991,5.27,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_256.wav,audio,13979.8,0.958,5.27,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_320.wav,audio,20387.1,0.965,5.34,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_384.wav,audio,21377.8,0.969,4.91,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_448.wav,audio,19784.7,0.976,5.33,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_512.wav,audio,22387.9,0.973,5.17,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_576.wav,audio,25519.3,0.971,4.91,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_640.wav,audio,19258.0,0.982,5.43,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_704.wav,audio,15133.4,0.991,5.27,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_768.wav,audio,13979.8,0.958,5.27,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_832.wav,audio,20387.1,0.965,5.34,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_896.wav,audio,21377.8,0.969,4.91,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_960.wav,audio,19784.7,0.976,5.33,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_1024.wav,audio,19259.2,0.922,5.43,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_1088.wav,audio,15159.9,0.951,4.67,172.3
../data/addr_010000/samples/audios/audio_out/chunk_64/sample_1152.wav,audio,19725.8,0.994,5.16,172.3
