ADDR,DATA
0x000,0x00
0x001,0xB0
0x002,0xB0
0x003,0xB0
0x004,0x00
0x005,0x00
0x006,0x00
0x007,0x00
0x008,0x00
0x009,0x00
0x00A,0x00
0x00B,0x00
0x00C,0x00
0x00D,0x00
0x00E,0x00
0x00F,0x00
0x010,0xF8
0x011,0xA0
0x012,0x00
0x013,0x00
0x014,0x00
0x015,0x00
0x016,0x00
0x017,0x00
0x018,0x00
0x019,0x00
0x01A,0x00
0x01B,0x00
0x01C,0x00
0x01D,0x00
0x01E,0x00
0x01F,0x00
0x020,0x00
0x021,0xA0
0x022,0x00
0x023,0x00
0x024,0x00
0x025,0x00
0x026,0x00
0x027,0x00
0x028,0x00
0x029,0x00
0x02A,0x00
0x02B,0x00
0x02C,0x00
0x02D,0x00
0x02E,0x00
0x02F,0x00
0x030,0x02
0x031,0xF8
0x032,0xA0
0x033,0x00
0x034,0x00
0x035,0x00
0x036,0x00
0x037,0x00
0x038,0x00
0x039,0x00
0x03A,0x00
0x03B,0x00
0x03C,0x00
0x03D,0x00
0x03E,0x00
0x03F,0x00
0x040,0x00
0x041,0x00
0x042,0xA0
0x043,0x00
0x044,0x00
0x045,0x00
0x046,0x00
0x047,0x00
0x048,0x00
0x049,0x00
0x04A,0x00
0x04B,0x00
0x04C,0x00
0x04D,0x00
0x04E,0x00
0x04F,0x00
0x050,0xFF
0x051,0xF0
0x052,0xA0
0x053,0x00
0x054,0x00
0x055,0x00
0x056,0x00
0x057,0x00
0x058,0x00
0x059,0x00
0x05A,0x00
0x05B,0x00
0x05C,0x00
0x05D,0x00
0x05E,0x00
0x05F,0x00
0x060,0x00
0x061,0xF0
0x062,0xA0
0x063,0x80
0x064,0xA8
0x065,0xA0
0x066,0x00
0x067,0x00
0x068,0x00
0x069,0x00
0x06A,0x00
0x06B,0x00
0x06C,0x00
0x06D,0x00
0x06E,0x00
0x06F,0x00
0x070,0x02
0x071,0xFF
0x072,0xF0
0x073,0xA0
0x074,0x00
0x075,0x00
0x076,0x00
0x077,0x00
0x078,0x00
0x079,0x00
0x07A,0x00
0x07B,0x00
0x07C,0x00
0x07D,0x00
0x07E,0x00
0x07F,0x00
0x080,0x00
0x081,0x00
0x082,0xB0
0x083,0xA0
0x084,0x80
0x085,0xA8
0x086,0xA0
0x087,0x00
0x088,0x00
0x089,0x00
0x08A,0x00
0x08B,0x00
0x08C,0x00
0x08D,0x00
0x08E,0x00
0x08F,0x00
