ADDR,DATA
0x000,0xA0
0x001,0x20
0x002,0xC0
0x003,0xA0
0x004,0x40
0x005,0x50
0x006,0x50
0x007,0xA0
0x008,0x20
0x009,0x90
0x00A,0xD0
0x00B,0x40
0x00C,0x10
0x00D,0x10
0x00E,0x90
0x00F,0x50
0x010,0x70
0x011,0x20
0x012,0x20
0x013,0xA0
0x014,0x00
0x015,0x80
0x016,0x30
0x017,0xB0
0x018,0xC0
0x019,0x40
0x01A,0x30
0x01B,0x60
0x01C,0x20
0x01D,0x40
0x01E,0xF0
0x01F,0x90
0x020,0xA0
0x021,0x90
0x022,0xB0
0x023,0x10
0x024,0x00
0x025,0xA0
0x026,0x00
0x027,0x60
0x028,0xF0
0x029,0xC0
0x02A,0x00
0x02B,0x30
0x02C,0x00
0x02D,0xA0
0x02E,0xF0
0x02F,0x60
0x030,0x80
0x031,0x60
0x032,0xB0
0x033,0xD0
0x034,0x60
0x035,0x50
0x036,0xF0
0x037,0x80
0x038,0x10
0x039,0x40
0x03A,0x20
0x03B,0xD0
0x03C,0xC0
0x03D,0xD0
0x03E,0x90
0x03F,0x90
0x040,0x90
0x041,0x10
0x042,0xF0
0x043,0x80
0x044,0xA0
0x045,0xC0
0x046,0xA0
0x047,0xE0
0x048,0x70
0x049,0x60
0x04A,0x30
0x04B,0x50
0x04C,0x90
0x04D,0xD0
0x04E,0x70
0x04F,0x40
0x050,0x90
0x051,0xA0
0x052,0x70
0x053,0x00
0x054,0xA0
0x055,0xB0
0x056,0x20
0x057,0xD0
0x058,0x20
0x059,0xB0
0x05A,0x40
0x05B,0x10
0x05C,0xC0
0x05D,0x40
0x05E,0x30
0x05F,0x60
0x060,0xF0
0x061,0x20
0x062,0x50
0x063,0xF0
0x064,0x20
0x065,0x20
0x066,0x30
0x067,0xA0
0x068,0xF0
0x069,0x30
0x06A,0xB0
0x06B,0xF0
0x06C,0xB0
0x06D,0x80
0x06E,0x60
0x06F,0x50
0x070,0x50
0x071,0x50
0x072,0xE0
0x073,0x50
0x074,0x70
0x075,0x20
0x076,0xB0
0x077,0xE0
0x078,0x40
0x079,0x00
0x07A,0xA0
0x07B,0x10
0x07C,0x60
0x07D,0xF0
0x07E,0x80
0x07F,0x60
0x080,0xE0
0x081,0xC0
0x082,0x30
0x083,0x30
0x084,0x70
0x085,0xF0
0x086,0xE0
0x087,0x30
0x088,0xE0
0x089,0xD0
0x08A,0x10
0x08B,0xB0
0x08C,0x50
0x08D,0x60
0x08E,0xF0
0x08F,0xE0
0x090,0xE0
0x091,0xE0
0x092,0xC0
0x093,0xC0
0x094,0xC0
0x095,0xA0
0x096,0xD0
0x097,0x40
0x098,0xD0
0x099,0xD0
0x09A,0x70
0x09B,0x10
0x09C,0xF0
0x09D,0xB0
0x09E,0x50
0x09F,0x10
0x0A0,0xA0
0x0A1,0x70
0x0A2,0xA0
0x0A3,0x60
0x0A4,0xF0
0x0A5,0xF0
0x0A6,0xE0
0x0A7,0x30
0x0A8,0x30
0x0A9,0xD0
0x0AA,0x70
0x0AB,0x70
0x0AC,0x20
0x0AD,0x30
0x0AE,0x70
0x0AF,0xB0
0x0B0,0xD0
0x0B1,0x90
0x0B2,0xE0
0x0B3,0x00
0x0B4,0xD0
0x0B5,0x50
0x0B6,0x10
0x0B7,0xD0
0x0B8,0xA0
0x0B9,0x90
0x0BA,0x00
0x0BB,0x00
0x0BC,0x40
0x0BD,0x90
0x0BE,0x00
0x0BF,0x00
0x0C0,0x80
0x0C1,0x90
0x0C2,0x00
0x0C3,0x50
0x0C4,0x70
0x0C5,0x20
0x0C6,0xF0
0x0C7,0x70
0x0C8,0x90
0x0C9,0x80
0x0CA,0x60
0x0CB,0x60
0x0CC,0x20
0x0CD,0x70
0x0CE,0x90
0x0CF,0xA0
0x0D0,0xD0
0x0D1,0x30
0x0D2,0xB0
0x0D3,0xD0
0x0D4,0x80
0x0D5,0x90
0x0D6,0x40
0x0D7,0xB0
0x0D8,0x10
0x0D9,0xF0
0x0DA,0x20
0x0DB,0xB0
0x0DC,0x70
0x0DD,0x40
0x0DE,0x70
0x0DF,0x10
0x0E0,0xC0
0x0E1,0x20
0x0E2,0xA0
0x0E3,0xC0
0x0E4,0x10
0x0E5,0x20
0x0E6,0x40
0x0E7,0xE0
0x0E8,0xE0
0x0E9,0xA0
0x0EA,0x00
0x0EB,0x60
0x0EC,0x50
0x0ED,0x80
0x0EE,0xA0
0x0EF,0x50
0x0F0,0xD0
0x0F1,0x90
0x0F2,0x80
0x0F3,0x70
0x0F4,0xF0
0x0F5,0x90
0x0F6,0xC0
0x0F7,0x30
0x0F8,0x30
0x0F9,0x80
0x0FA,0x80
0x0FB,0xE0
0x0FC,0x80
0x0FD,0x30
0x0FE,0x20
0x0FF,0x00
0x100,0x80
0x101,0x60
0x102,0x10
0x103,0x50
0x104,0x40
0x105,0x30
0x106,0x70
0x107,0x60
0x108,0x60
0x109,0x30
0x10A,0x80
0x10B,0x60
0x10C,0x50
0x10D,0x00
0x10E,0x80
0x10F,0xB0
0x110,0x20
0x111,0x00
0x112,0x00
0x113,0x30
0x114,0x60
0x115,0xF0
0x116,0x50
0x117,0x60
0x118,0x80
0x119,0x30
0x11A,0x20
0x11B,0x80
0x11C,0x90
0x11D,0x70
0x11E,0xB0
0x11F,0x30
0x120,0x60
0x121,0x60
0x122,0x60
0x123,0x30
0x124,0xA0
0x125,0x60
0x126,0x80
0x127,0x00
0x128,0xC0
0x129,0x10
0x12A,0x40
0x12B,0x00
0x12C,0xF0
0x12D,0x80
0x12E,0xF0
0x12F,0x40
0x130,0x50
0x131,0x70
0x132,0x90
0x133,0xF0
0x134,0x30
0x135,0x80
0x136,0x50
0x137,0x30
0x138,0x90
0x139,0xB0
0x13A,0x00
0x13B,0xE0
0x13C,0x70
0x13D,0xA0
0x13E,0xC0
0x13F,0x50
0x140,0xD0
0x141,0xF0
0x142,0x90
0x143,0xD0
0x144,0x10
0x145,0xD0
0x146,0xF0
0x147,0x80
0x148,0x40
0x149,0x90
0x14A,0xE0
0x14B,0xA0
0x14C,0x60
0x14D,0x50
0x14E,0x30
0x14F,0x80
0x150,0xF0
0x151,0xD0
0x152,0x10
0x153,0x50
0x154,0xE0
0x155,0x10
0x156,0x50
0x157,0xA0
0x158,0x80
0x159,0x50
0x15A,0x40
0x15B,0x80
0x15C,0x40
0x15D,0x30
0x15E,0xE0
0x15F,0x20
0x160,0xD0
0x161,0x80
