ADDR,DATA
0x157,0x97
0x158,0x97
0x159,0x96
0x15A,0x94
0x15B,0x91
0x15C,0x8E
0x15D,0x8B
0x15E,0x88
0x15F,0x87
0x160,0x85
0x161,0x84
0x162,0x82
0x163,0x7E
0x164,0x7A
0x165,0x73
0x166,0x6B
0x167,0x62
0x168,0x59
0x169,0x51
0x16A,0x4B
0x16B,0x47
0x16C,0x44
0x16D,0x42
0x16E,0x40
0x16F,0x3E
0x170,0x3D
0x171,0x3C
0x172,0x3B
0x173,0x3B
0x174,0x3C
0x175,0x3D
0x176,0x3D
0x177,0x3E
0x178,0x3F
0x179,0x41
0x17A,0x45
0x17B,0x4B
0x17C,0x51
0x17D,0x57
0x17E,0x5D
0x17F,0x62
0x180,0x67
0x181,0x6D
0x182,0x72
0x183,0x79
0x184,0x80
0x185,0x87
0x186,0x8C
0x187,0x91
0x188,0x94
0x189,0x96
0x18A,0x97
0x18B,0x96
0x18C,0x95
0x18D,0x95
0x18E,0x95
0x18F,0x96
0x190,0x98
0x191,0x9A
0x192,0x9D
0x193,0xA0
0x194,0xA3
0x195,0xA5
0x196,0xA5
0x197,0xA5
0x198,0xA3
0x199,0xA1
0x19A,0x9E
0x19B,0x9C
0x19C,0x99
0x19D,0x98
0x19E,0x96
0x19F,0x96
0x1A0,0x96
0x1A1,0x95
0x1A2,0x95
0x1A3,0x94
0x1A4,0x92
0x1A5,0x91
0x1A6,0x91
0x1A7,0x92
0x1A8,0x95
0x1A9,0x98
0x1AA,0x9C
0x1AB,0x9F
0x1AC,0xA1
0x1AD,0xA2
0x1AE,0xA3
0x1AF,0xA2
0x1B0,0xA2
0x1B1,0xA0
0x1B2,0x9E
0x1B3,0x9A
0x1B4,0x95
0x1B5,0x8E
0x1B6,0x86
0x1B7,0x7E
0x1B8,0x77
0x1B9,0x72
0x1BA,0x6F
0x1BB,0x6D
0x1BC,0x6C
0x1BD,0x6B
0x1BE,0x69
0x1BF,0x67
0x1C0,0x64
0x1C1,0x63
0x1C2,0x61
0x1C3,0x60
0x1C4,0x5E
