ADDR,DATA
0x0000,0x8060
0x0001,0x7F80
0x0002,0x7F10
0x0003,0x7F40
0x0004,0x7F80
0x0005,0x7F80
0x0006,0x7EF0
0x0007,0x7DF0
0x0008,0x7D10
0x0009,0x7CC0
0x000A,0x7D10
0x000B,0x7E10
0x000C,0x7F60
0x000D,0x8090
0x000E,0x8190
0x000F,0x8270
0x0010,0x8350
0x0011,0x8430
0x0012,0x84F0
0x0013,0x85D0
0x0014,0x8660
0x0015,0x8720
0x0016,0x87E0
0x0017,0x8870
0x0018,0x8930
0x0019,0x89A0
0x001A,0x8A10
0x001B,0x8A50
0x001C,0x8A50
0x001D,0x8AA0
0x001E,0x8B10
0x001F,0x8C10
0x0020,0x8CF0
0x0021,0x8D90
0x0022,0x8D60
0x0023,0x8C60
0x0024,0x8A80
0x0025,0x8850
0x0026,0x8660
0x0027,0x84F0
0x0028,0x8410
0x0029,0x83A0
0x002A,0x8370
0x002B,0x8370
0x002C,0x8370
0x002D,0x83A0
0x002E,0x8410
0x002F,0x84F0
0x0030,0x85B0
0x0031,0x8660
0x0032,0x8720
0x0033,0x8800
0x0034,0x8950
0x0035,0x8B60
0x0036,0x8E20
0x0037,0x91A0
0x0038,0x9520
0x0039,0x98A0
0x003A,0x9BE0
0x003B,0x9E60
0x003C,0xA060
0x003D,0xA250
0x003E,0xA3C0
0x003F,0xA4F0
0x0040,0xA5D0
0x0041,0xA680
0x0042,0xA720
0x0043,0xA7B0
0x0044,0xA820
0x0045,0xA800
0x0046,0xA770
0x0047,0xA610
0x0048,0xA430
0x0049,0xA1E0
0x004A,0x9FB0
0x004B,0x9E10
0x004C,0x9D10
0x004D,0x9C70
0x004E,0x9C30
0x004F,0x9BE0
0x0050,0x9B20
0x0051,0x99D0
0x0052,0x9810
0x0053,0x95C0
0x0054,0x92D0
0x0055,0x8F90
0x0056,0x8BA0
0x0057,0x8770
0x0058,0x8330
0x0059,0x7EF0
0x005A,0x7AE0
0x005B,0x7780
0x005C,0x7490
0x005D,0x71A0
0x005E,0x6EE0
0x005F,0x6BF0
0x0060,0x6870
0x0061,0x64A0
0x0062,0x60D0
0x0063,0x5DC0
0x0064,0x5B90
