file,class,std,autocorr,entropy,f0
../data/addr_100000/samples/audios/raw_audio/1_raw_audio0100000.wav,audio,24094.3,0.918,1.73,161.5
../data/addr_100000/samples/audios/raw_audio/2_raw_audio_0100000.wav,audio,23834.6,0.928,2.02,58.6
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_0.wav,audio,18535.1,0.983,5.14,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_64.wav,audio,12716.6,0.98,4.89,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_128.wav,audio,18486.2,0.958,4.85,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_192.wav,audio,13630.5,0.847,5.1,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_256.wav,audio,16928.8,0.898,5.23,516.8
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_320.wav,audio,13626.0,0.973,5.16,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_384.wav,audio,15805.0,0.963,5.03,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_448.wav,audio,15839.1,0.895,4.65,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_512.wav,audio,18535.1,0.983,5.14,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_576.wav,audio,12716.6,0.98,4.89,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_640.wav,audio,18486.2,0.958,4.85,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_704.wav,audio,13630.5,0.847,5.1,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_768.wav,audio,16928.8,0.898,5.23,516.8
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_832.wav,audio,13626.0,0.973,5.16,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_896.wav,audio,15805.0,0.963,5.03,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_960.wav,audio,15839.1,0.895,4.65,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_1024.wav,audio,14373.9,0.986,5.05,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_1088.wav,audio,14178.9,0.961,5.17,344.5
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_1152.wav,audio,15904.7,0.961,4.99,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_1216.wav,audio,19011.0,0.951,5.07,172.3
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_1280.wav,audio,12701.2,0.81,4.67,344.5
../data/addr_100000/samples/audios/audio_out/chunk_64/sample_1344.wav,audio,17845.5,0.902,5.21,516.8
