addr,data
0x0DE, 0xFF
0x0DF, 0xFF
0x0E0, 0xFF
0x0E1, 0x85
0x0E2, 0xFF
0x0E3, 0xFF
0x0E4, 0xB0
0x0E5, 0x96
0x0E6, 0xFF
0x0E7, 0xFF
0x0E8, 0x92
0x0E9, 0x50
0x0EA, 0xFF
0x0EB, 0xFF
0x0EC, 0x52
0x0ED, 0xFF
0x0EE, 0xFF
0x0EF, 0xFF
0x0F0, 0xFF
0x0F1, 0xFF
0x0F2, 0xFF
0x0F3, 0xFF
0x0F4, 0xFF
0x0F5, 0xFF
0x0F6, 0xFF
0x0F7, 0xFF
0x0F8, 0xFF
0x0F9, 0xFF
0x0FA, 0xFF
0x0FB, 0xFF
0x0FC, 0xFF
0x0FD, 0xFF
0x0FE, 0xFF
0x0FF, 0xFF
0x100, 0xC0
0x101, 0x65
0x102, 0xFF
0x103, 0xFF
0x104, 0xFF
0x105, 0xFF
0x106, 0xFF
0x107, 0xFF
0x108, 0x72
0x109, 0x60
0x10A, 0xFF
0x10B, 0xFF
0x10C, 0xFF
0x10D, 0xFF
0x10E, 0xFF
0x10F, 0xFF
0x110, 0xFF
0x111, 0xFF
0x112, 0xFF
0x113, 0xFF
0x114, 0xFF
0x115, 0xFF
0x116, 0xFF
0x117, 0xFF
0x118, 0xFF
0x119, 0xFF
0x11A, 0xFF
0x11B, 0xFF
0x11C, 0xFF
0x11D, 0xFF
0x11E, 0xFF
0x11F, 0xFF
0x120, 0xFF
0x121, 0xFF
0x122, 0xFF
0x123, 0xFF
0x124, 0xFF
0x125, 0xFF
0x126, 0xFF
0x127, 0xFF
0x128, 0xBA
0x129, 0xFF
0x12A, 0xFF
0x12B, 0xFF
0x12C, 0xFF
0x12D, 0xFF
0x12E, 0xFF
0x12F, 0xFF
0x130, 0xFF
0x131, 0xFF
0x132, 0xFF
0x133, 0xFF
0x134, 0xFF
0x135, 0xFF
0x136, 0xFF
0x137, 0xFF
0x138, 0xFF
0x139, 0xFF
0x13A, 0xFF
0x13B, 0xFF
0x13C, 0xFF
0x13D, 0xFF
0x13E, 0xFF
0x13F, 0xFF
0x140, 0xFF
0x141, 0xFF
0x142, 0xFF
0x143, 0xFF
0x144, 0xB0
0x145, 0xFF
0x146, 0xFF
0x147, 0xFF
0x148, 0xFF
0x149, 0xFF
0x14A, 0xFF
0x14B, 0xFF
0x14C, 0xFF
0x14D, 0xFF
0x14E, 0xFF
0x14F, 0xFF
0x150, 0xFF
0x151, 0xFF
0x152, 0xFF
0x153, 0xFF
0x154, 0xFF
0x155, 0xFF
0x156, 0xFF
0x157, 0xFF
0x158, 0xFF
0x159, 0xFF
0x15A, 0xFF
0x15B, 0xFF
0x15C, 0xFF
0x15D, 0xFF
0x15E, 0xFF
0x15F, 0xFF
0x160, 0xC0
0x161, 0xFF
0x162, 0xFF
0x163, 0xFF
0x164, 0xFF
0x165, 0xFF
0x166, 0xFF
0x167, 0xFF
0x168, 0xFF
0x169, 0xFF
0x16A, 0xFF
0x16B, 0xFF
0x16C, 0xFF
0x16D, 0xFF
0x16E, 0xFF
0x16F, 0xFF
0x170, 0xFF
0x171, 0xFF
0x172, 0xFF
0x173, 0xFF
0x174, 0xFF
0x175, 0xFF
0x176, 0xFF
0x177, 0xFF
0x178, 0xFF
0x179, 0xFF
0x17A, 0xFF
0x17B, 0xFF
0x17C, 0xFF
0x17D, 0xFF
0x17E, 0xFF
0x17F, 0xFF
0x180, 0x7A
0x181, 0x74
0x182, 0x6E
0x183, 0x6A
0x184, 0x65
0x185, 0x61
0x186, 0x5D
0x187, 0x5A
0x188, 0x57
0x189, 0x54
0x18A, 0x51
0x18B, 0x4D
0x18C, 0x49
0x18D, 0x46
0x18E, 0x43
0x18F, 0x40
0x190, 0x3D
0x191, 0x3A
0x192, 0x37
0x193, 0x35
0x194, 0x32
0x195, 0x30
0x196, 0x2E
0x197, 0x2D
0x198, 0x2B
0x199, 0x2A
0x19A, 0x28
0x19B, 0x26
0x19C, 0x24
0x19D, 0x23
0x19E, 0x21
0x19F, 0x20
0x1A0, 0x1E
0x1A1, 0x1D
0x1A2, 0x1B
0x1A3, 0x1A
0x1A4, 0x19
0x1A5, 0x18
0x1A6, 0x17
0x1A7, 0x16
0x1A8, 0x15
0x1A9, 0x14
0x1AA, 0x13
0x1AB, 0x13
0x1AC, 0xFF
0x1AD, 0xFF
0x1AE, 0xFF
0x1AF, 0xFF
0x1B0, 0xFF
0x1B1, 0xFF
0x1B2, 0xFF
0x1B3, 0xFF
0x1B4, 0xFF
