ADDR,DATA
0x000,0x81
0x001,0x80
0x002,0x7F
0x003,0x7E
0x004,0x7C
0x005,0x7B
0x006,0x7B
0x007,0x7A
0x008,0x78
0x009,0x74
0x00A,0x6E
0x00B,0x67
0x00C,0x61
0x00D,0x5C
0x00E,0x59
0x00F,0x58
0x010,0x58
0x011,0x59
0x012,0x5A
0x013,0x5A
0x014,0x5B
0x015,0x5D
0x016,0x62
0x017,0x69
0x018,0x71
0x019,0x7A
0x01A,0x82
0x01B,0x8A
0x01C,0x92
0x01D,0x98
0x01E,0x9D
0x01F,0x9E
0x020,0x9D
0x021,0x99
0x022,0x93
0x023,0x8C
0x024,0x87
0x025,0x85
0x026,0x86
0x027,0x89
0x028,0x8D
0x029,0x91
0x02A,0x95
0x02B,0x98
0x02C,0x9B
0x02D,0x9D
0x02E,0x9D
0x02F,0x9D
0x030,0x9D
0x031,0x9E
0x032,0xA1
0x033,0xA7
0x034,0xAE
0x035,0xB6
0x036,0xBB
0x037,0xBE
0x038,0xBF
0x039,0xBE
0x03A,0xBB
0x03B,0xB7
0x03C,0xB2
0x03D,0xAC
0x03E,0xA4
0x03F,0x9C
0x040,0x92
0x041,0x89
0x042,0x83
0x043,0x81
0x044,0x83
0x045,0x87
0x046,0x8B
0x047,0x8E
0x048,0x8E
0x049,0x8D
0x04A,0x8B
0x04B,0x89
0x04C,0x88
0x04D,0x88
0x04E,0x89
0x04F,0x8B
0x050,0x8B
0x051,0x87
0x052,0x80
0x053,0x76
0x054,0x6C
0x055,0x63
0x056,0x5C
0x057,0x56
0x058,0x52
0x059,0x50
0x05A,0x51
0x05B,0x55
0x05C,0x5A
0x05D,0x61
0x05E,0x69
0x05F,0x6F
0x060,0x73
0x061,0x76
0x062,0x77
0x063,0x77
0x064,0x76
0x065,0x75
0x066,0x73
0x067,0x70
0x068,0x6D
0x069,0x6B
0x06A,0x6C
0x06B,0x70
0x06C,0x74
0x06D,0x77
0x06E,0x79
0x06F,0x7C
0x070,0x81
0x071,0x8B
0x072,0x9A
0x073,0xAF
0x074,0xC5
0x075,0xDA
0x076,0xEA
0x077,0xF2
0x078,0xF2
0x079,0xEC
0x07A,0xE2
0x07B,0xD5
0x07C,0xC5
0x07D,0xB5
0x07E,0xA6
0x07F,0x99
0x080,0x90
0x081,0x8A
0x082,0x87
0x083,0x86
0x084,0x85
0x085,0x84
0x086,0x86
0x087,0x8A
0x088,0x91
0x089,0x9A
0x08A,0xA2
0x08B,0xA7
0x08C,0xA7
0x08D,0xA3
0x08E,0x9C
0x08F,0x93
0x090,0x89
0x091,0x81
0x092,0x79
0x093,0x72
0x094,0x6C
0x095,0x68
0x096,0x68
0x097,0x6C
0x098,0x72
0x099,0x7A
0x09A,0x81
0x09B,0x85
0x09C,0x87
0x09D,0x87
0x09E,0x85
0x09F,0x83
0x0A0,0x81
0x0A1,0x7D
0x0A2,0x78
0x0A3,0x72
0x0A4,0x6C
0x0A5,0x66
0x0A6,0x60
0x0A7,0x5B
0x0A8,0x56
0x0A9,0x51
0x0AA,0x4D
0x0AB,0x49
0x0AC,0x47
0x0AD,0x45
0x0AE,0x44
0x0AF,0x44
0x0B0,0x44
0x0B1,0x45
0x0B2,0x46
0x0B3,0x48
0x0B4,0x49
0x0B5,0x48
0x0B6,0x45
0x0B7,0x40
0x0B8,0x3B
0x0B9,0x35
0x0BA,0x31
0x0BB,0x30
0x0BC,0x32
0x0BD,0x38
0x0BE,0x41
0x0BF,0x4A
0x0C0,0x52
0x0C1,0x5A
0x0C2,0x60
0x0C3,0x68
0x0C4,0x70
0x0C5,0x7B
0x0C6,0x86
0x0C7,0x91
0x0C8,0x9A
0x0C9,0x9F
0x0CA,0xA1
0x0CB,0x9E
0x0CC,0x9A
0x0CD,0x95
0x0CE,0x90
0x0CF,0x8A
0x0D0,0x86
0x0D1,0x83
0x0D2,0x81
0x0D3,0x80
0x0D4,0x7F
0x0D5,0x7E
0x0D6,0x7D
0x0D7,0x7D
0x0D8,0x7D
0x0D9,0x7F
0x0DA,0x81
0x0DB,0x82
0x0DC,0x81
0x0DD,0x7E
0x0DE,0x79
0x0DF,0x74
0x0E0,0x6F
0x0E1,0x6B
0x0E2,0x69
0x0E3,0x68
0x0E4,0x67
0x0E5,0x65
0x0E6,0x63
0x0E7,0x61
0x0E8,0x5F
0x0E9,0x5D
0x0EA,0x5E
