ADDR,DATA
0x000,0xDA
0x001,0x90
0x002,0x40
0x003,0x09
0x004,0x00
0x005,0x00
0x006,0x00
0x007,0x00
0x008,0x01
0x009,0x02
0x00A,0x03
0x00B,0x04
0x00C,0x05
0x00D,0x06
0x00E,0x08
0x00F,0x09
0x010,0x0B
0x011,0x0D
0x012,0x0F
0x013,0x11
0x014,0x13
0x015,0x16
0x016,0x18
0x017,0x1B
0x018,0x1E
0x019,0x21
0x01A,0x24
0x01B,0x27
0x01C,0x2A
0x01D,0x2D
0x01E,0x31
0x01F,0x34
0x020,0x38
0x021,0x3C
0x022,0x40
0x023,0x43
0x024,0x47
0x025,0x4B
0x026,0x4F
0x027,0x53
0x028,0x58
0x029,0x5C
0x02A,0x60
0x02B,0x64
0x02C,0x69
0x02D,0x6D
0x02E,0x71
0x02F,0x76
0x030,0x7A
0x031,0x83
0x032,0x95
0x033,0xA6
0x034,0xB6
0x035,0xC6
0x036,0xD4
0x037,0xE0
0x038,0xEB
0x039,0xF3
0x03A,0xFA
0x03B,0xFE
0x03C,0xFF
0x03D,0xFF
0x03E,0xFC
0x03F,0xF6
0x040,0xEE
0x041,0xE5
0x042,0xD9
0x043,0xCB
0x044,0xBC
0x045,0xAC
0x046,0x9B
0x047,0x8A
0x048,0x78
0x049,0x67
0x04A,0x56
0x04B,0x46
0x04C,0x37
0x04D,0x29
0x04E,0x1D
0x04F,0x12
0x050,0x0A
0x051,0x04
0x052,0x01
0x053,0x00
0x054,0xEE
0x055,0x40
0x056,0x00
0x057,0x03
0x058,0x08
0x059,0x0F
0x05A,0x18
0x05B,0x24
0x05C,0x31
0x05D,0x40
0x05E,0x4F
0x05F,0x60
0x060,0x71
0x061,0x64
0x062,0xB1
0x063,0xEC
0x064,0xFF
0x065,0xE3
0x066,0xA3
0x067,0x55
0x068,0x17
0x069,0x00
0x06A,0xF8
0x06B,0x00
0x06C,0x21
0x06D,0x80
0x06E,0x84
0x06F,0x88
0x070,0x8C
0x071,0x90
0x072,0x94
0x073,0x98
0x074,0x9D
0x075,0xA1
0x076,0xA5
0x077,0xA9
0x078,0xAD
0x079,0xB0
0x07A,0xB4
0x07B,0xB8
0x07C,0xBC
0x07D,0xBF
0x07E,0xC3
0x07F,0xC7
0x080,0xCA
0x081,0xCD
0x082,0xD1
0x083,0xD4
0x084,0xD7
0x085,0xDA
0x086,0xDD
0x087,0xE0
0x088,0xE2
0x089,0xE5
0x08A,0xE8
0x08B,0xEA
0x08C,0xEC
0x08D,0xEE
