file,class,std,autocorr,entropy,f0
../data/addr_001000/samples/audios/raw_audio/1_raw_audio_0001000.wav,audio,23388.6,0.7,1.8,1125.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_0.wav,audio,15390.5,0.755,5.1,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_64.wav,audio,13815.4,0.78,5.02,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_128.wav,audio,16023.4,0.726,4.87,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_192.wav,audio,12973.4,0.69,4.64,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_256.wav,audio,15043.4,0.634,4.45,1722.7
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_320.wav,audio,13260.2,0.678,4.35,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_384.wav,audio,15369.3,0.748,4.53,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_448.wav,audio,15092.0,0.75,4.78,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_512.wav,audio,15390.5,0.755,5.1,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_576.wav,audio,13815.4,0.78,5.02,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_640.wav,audio,16023.4,0.726,4.87,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_704.wav,audio,12973.4,0.69,4.64,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_768.wav,audio,15043.4,0.634,4.45,1722.7
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_832.wav,audio,13260.2,0.678,4.35,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_896.wav,audio,15369.3,0.748,4.53,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_960.wav,audio,15092.0,0.75,4.78,689.1
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_1024.wav,audio,17083.9,0.824,5.02,516.8
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_1088.wav,audio,15310.5,0.882,4.78,516.8
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_1152.wav,audio,19938.4,0.929,5.17,516.8
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_1216.wav,audio,14342.6,0.878,4.94,516.8
../data/addr_001000/samples/audios/audio_out/chunk_64/sample_1280.wav,audio,13344.8,0.934,4.97,516.8
