ADDR,DATA
0x0000,0xB0F0
0x0001,0xB490
0x0002,0xB9B0
0x0003,0xBF20
0x0004,0xC390
0x0005,0xC640
0x0006,0xC7F0
0x0007,0xC900
0x0008,0xCAD0
0x0009,0xCDB0
0x000A,0xD0F0
0x000B,0xD300
0x000C,0xD360
0x000D,0xD1B0
0x000E,0xCF00
0x000F,0xCC80
0x0010,0xCAF0
0x0011,0xCAB0
0x0012,0xCB70
0x0013,0xCCE0
0x0014,0xCE50
0x0015,0xCFC0
0x0016,0xD150
0x0017,0xD380
0x0018,0xD640
0x0019,0xD9A0
0x001A,0xDDD0
0x001B,0xE2E0
0x001C,0xE8B0
0x001D,0xEF30
0x001E,0xF5D0
0x001F,0xFBD0
0x0020,0xFF70
0x0021,0xFFF0
0x0022,0xFD40
0x0023,0xF7C0
0x0024,0xF120
0x0025,0xE9A0
0x0026,0xE190
0x0027,0xD960
0x0028,0xD130
0x0029,0xC8E0
0x002A,0xC0F0
0x002B,0xB960
0x002C,0xB240
0x002D,0xAC20
0x002E,0xA750
0x002F,0xA2F0
0x0030,0x9E60
0x0031,0x98A0
0x0032,0x91C0
0x0033,0x8A40
0x0034,0x8230
0x0035,0x7A60
0x0036,0x7300
0x0037,0x6BF0
0x0038,0x6530
0x0039,0x5F60
0x003A,0x5AF0
0x003B,0x5850
0x003C,0x5700
0x003D,0x55A0
0x003E,0x52C0
0x003F,0x4DF0
0x0040,0x4730
0x0041,0x4000
0x0042,0x3900
0x0043,0x32A0
0x0044,0x2CD0
0x0045,0x27A0
0x0046,0x2350
0x0047,0x1FD0
0x0048,0x1D70
0x0049,0x1C30
0x004A,0x1B80
0x004B,0x1AA0
0x004C,0x1860
0x004D,0x1520
0x004E,0x1180
0x004F,0x0E20
0x0050,0x0B80
0x0051,0x0A20
0x0052,0x09F0
0x0053,0x0B80
0x0054,0x0E80
0x0055,0x12D0
0x0056,0x17E0
0x0057,0x1DC0
0x0058,0x23F0
0x0059,0x2970
0x005A,0x2DB0
0x005B,0x2FD0
0x005C,0x3010
0x005D,0x2F80
0x005E,0x2F80
0x005F,0x30F0
0x0060,0x33F0
0x0061,0x3860
0x0062,0x3DF0
0x0063,0x4450
0x0064,0x4B50
0x0065,0x5300
0x0066,0x5A70
0x0067,0x6000
0x0068,0x62C0
0x0069,0x61F0
0x006A,0x5ED0
0x006B,0x5B10
0x006C,0x5850
0x006D,0x57D0
0x006E,0x59C0
0x006F,0x5E10
0x0070,0x63C0
0x0071,0x6940
0x0072,0x6DA0
0x0073,0x7060
0x0074,0x7140
0x0075,0x7140
0x0076,0x70C0
0x0077,0x6FE0
0x0078,0x6E90
0x0079,0x6C30
0x007A,0x68D0
0x007B,0x64F0
0x007C,0x61F0
0x007D,0x6110
0x007E,0x62E0
0x007F,0x6790
0x0080,0x6D40
0x0081,0x7300
0x0082,0x7740
0x0083,0x7870
0x0084,0x7660
0x0085,0x71B0
0x0086,0x6C10
0x0087,0x6790
0x0088,0x6640
0x0089,0x6890
0x008A,0x6D80
0x008B,0x7320
0x008C,0x77C0
0x008D,0x7A40
0x008E,0x7AC0
0x008F,0x79E0
0x0090,0x7830
0x0091,0x7630
0x0092,0x73A0
0x0093,0x7020
0x0094,0x6B90
0x0095,0x6680
0x0096,0x61B0
0x0097,0x5E90
0x0098,0x5DF0
0x0099,0x6060
0x009A,0x6570
0x009B,0x6BF0
0x009C,0x7210
0x009D,0x7700
0x009E,0x7A80
0x009F,0x7D40
0x00A0,0x7FF0
0x00A1,0x8310
0x00A2,0x8630
0x00A3,0x8990
0x00A4,0x8C90
0x00A5,0x8F70
0x00A6,0x91E0
0x00A7,0x9480
0x00A8,0x9690
0x00A9,0x97E0
0x00AA,0x9800
0x00AB,0x97C0
0x00AC,0x9710
0x00AD,0x9630
0x00AE,0x9460
0x00AF,0x9180
0x00B0,0x8E60
0x00B1,0x8C90
0x00B2,0x8D30
0x00B3,0x9100
0x00B4,0x96B0
0x00B5,0x9C90
0x00B6,0xA090
0x00B7,0xA220
0x00B8,0xA240
0x00B9,0xA260
0x00BA,0xA330
0x00BB,0xA500
0x00BC,0xA7A0
0x00BD,0xAA50
0x00BE,0xACD0
0x00BF,0xAF00
0x00C0,0xB0B0
0x00C1,0xB2E0
0x00C2,0xB5C0
0x00C3,0xB980
0x00C4,0xBD90
0x00C5,0xC1B0
0x00C6,0xC580
0x00C7,0xC8A0
0x00C8,0xCB50
0x00C9,0xCD20
0x00CA,0xCE50
0x00CB,0xCE50
0x00CC,0xCDD0
0x00CD,0xCCE0
0x00CE,0xCC20
0x00CF,0xCBE0
0x00D0,0xCC40
0x00D1,0xCD20
0x00D2,0xCDF0
0x00D3,0xCDB0
0x00D4,0xCCA0
0x00D5,0xCB70
0x00D6,0xCB90
0x00D7,0xCD20
0x00D8,0xD110
0x00D9,0xD700
0x00DA,0xDE50
0x00DB,0xE5B0
0x00DC,0xECE0
0x00DD,0xF320
0x00DE,0xF850
0x00DF,0xFC70
0x00E0,0xFED0
0x00E1,0xFED0
0x00E2,0xFC70
0x00E3,0xF810
0x00E4,0xF210
0x00E5,0xEB50
0x00E6,0xE450
0x00E7,0xDD00
0x00E8,0xD5A0
0x00E9,0xCE30
0x00EA,0xC6D0
0x00EB,0xBFE0
0x00EC,0xBA10
0x00ED,0xB5E0
0x00EE,0xB260
0x00EF,0xAE40
0x00F0,0xA880
0x00F1,0xA0B0
0x00F2,0x97C0
0x00F3,0x8E60
0x00F4,0x8630
0x00F5,0x7F10
0x00F6,0x78F0
0x00F7,0x7380
0x00F8,0x6F10
0x00F9,0x6B70
0x00FA,0x68B0
0x00FB,0x6660
0x00FC,0x63C0
0x00FD,0x6000
0x00FE,0x5A90
0x00FF,0x53F0
0x0100,0x4CA0
0x0101,0x4560
0x0102,0x3EC0
0x0103,0x3900
0x0104,0x34C0
0x0105,0x3130
0x0106,0x2EA0
0x0107,0x2C40
0x0108,0x2A10
0x0109,0x2800
0x010A,0x25C0
0x010B,0x22F0
0x010C,0x1F00
0x010D,0x19F0
0x010E,0x14C0
0x010F,0x1070
0x0110,0x0DE0
0x0111,0x0D80
0x0112,0x0F50
0x0113,0x1290
0x0114,0x16B0
0x0115,0x1B40
0x0116,0x2010
0x0117,0x24C0
0x0118,0x2920
0x0119,0x2C20
0x011A,0x2D70
0x011B,0x2D10
0x011C,0x2B80
0x011D,0x2A50
0x011E,0x2AE0
0x011F,0x2DB0
0x0120,0x3390
0x0121,0x3BE0
0x0122,0x4560
0x0123,0x4E70
0x0124,0x5580
0x0125,0x5980
0x0126,0x5AD0
0x0127,0x5A40
0x0128,0x5940
0x0129,0x5890
0x012A,0x58E0
0x012B,0x59E0
0x012C,0x5B30
0x012D,0x5CC0
0x012E,0x5EB0
0x012F,0x6130
0x0130,0x64F0
0x0131,0x6980
0x0132,0x6E70
0x0133,0x72D0
0x0134,0x75D0
0x0135,0x7630
0x0136,0x7360
0x0137,0x6E30
0x0138,0x6810
