ADDR,DATA
0x000,0xB0
0x001,0xB4
0x002,0xB9
0x003,0xBF
0x004,0xC3
0x005,0xC6
0x006,0xC7
0x007,0xC9
0x008,0xCA
0x009,0xCD
0x00A,0xD0
0x00B,0xD3
0x00C,0xD3
0x00D,0xD1
0x00E,0xCF
0x00F,0xCC
0x010,0xCA
0x011,0xCA
0x012,0xCB
0x013,0xCC
0x014,0xCE
0x015,0xCF
0x016,0xD1
0x017,0xD3
0x018,0xD6
0x019,0xD9
0x01A,0xDD
0x01B,0xE2
0x01C,0xE8
0x01D,0xEF
0x01E,0xF5
0x01F,0xFB
0x020,0xFF
0x021,0xFF
0x022,0xFD
0x023,0xF7
0x024,0xF1
0x025,0xE9
0x026,0xE1
0x027,0xD9
0x028,0xD1
0x029,0xC8
0x02A,0xC0
0x02B,0xB9
0x02C,0xB2
0x02D,0xAC
0x02E,0xA7
0x02F,0xA2
0x030,0x9E
0x031,0x98
0x032,0x91
0x033,0x8A
0x034,0x82
0x035,0x7A
0x036,0x73
0x037,0x6B
0x038,0x65
0x039,0x5F
0x03A,0x5A
0x03B,0x58
0x03C,0x57
0x03D,0x55
0x03E,0x52
0x03F,0x4D
0x040,0x47
0x041,0x40
0x042,0x39
0x043,0x32
0x044,0x2C
0x045,0x27
0x046,0x23
0x047,0x1F
0x048,0x1D
0x049,0x1C
0x04A,0x1B
0x04B,0x1A
0x04C,0x18
0x04D,0x15
0x04E,0x11
0x04F,0x0E
0x050,0x0B
0x051,0x0A
0x052,0x09
0x053,0x0B
0x054,0x0E
0x055,0x12
0x056,0x17
0x057,0x1D
0x058,0x23
0x059,0x29
0x05A,0x2D
0x05B,0x2F
0x05C,0x30
0x05D,0x2F
0x05E,0x2F
0x05F,0x30
0x060,0x33
0x061,0x38
0x062,0x3D
0x063,0x44
0x064,0x4B
0x065,0x53
0x066,0x5A
0x067,0x60
0x068,0x62
0x069,0x61
0x06A,0x5E
0x06B,0x5B
0x06C,0x58
0x06D,0x57
0x06E,0x59
0x06F,0x5E
0x070,0x63
0x071,0x69
0x072,0x6D
0x073,0x70
0x074,0x71
0x075,0x71
0x076,0x70
0x077,0x6F
0x078,0x6E
0x079,0x6C
0x07A,0x68
0x07B,0x64
0x07C,0x61
0x07D,0x61
0x07E,0x62
0x07F,0x67
0x080,0x6D
0x081,0x73
0x082,0x77
0x083,0x78
0x084,0x76
0x085,0x71
0x086,0x6C
0x087,0x67
0x088,0x66
0x089,0x68
0x08A,0x6D
0x08B,0x73
0x08C,0x77
0x08D,0x7A
0x08E,0x7A
0x08F,0x79
0x090,0x78
0x091,0x76
0x092,0x73
0x093,0x70
0x094,0x6B
0x095,0x66
0x096,0x61
0x097,0x5E
0x098,0x5D
0x099,0x60
0x09A,0x65
0x09B,0x6B
0x09C,0x72
0x09D,0x77
0x09E,0x7A
0x09F,0x7D
0x0A0,0x7F
0x0A1,0x83
0x0A2,0x86
0x0A3,0x89
0x0A4,0x8C
0x0A5,0x8F
0x0A6,0x91
0x0A7,0x94
0x0A8,0x96
0x0A9,0x97
0x0AA,0x98
0x0AB,0x97
0x0AC,0x97
0x0AD,0x96
0x0AE,0x94
0x0AF,0x91
0x0B0,0x8E
0x0B1,0x8C
0x0B2,0x8D
0x0B3,0x91
0x0B4,0x96
0x0B5,0x9C
0x0B6,0xA0
0x0B7,0xA2
0x0B8,0xA2
0x0B9,0xA2
0x0BA,0xA3
0x0BB,0xA5
0x0BC,0xA7
0x0BD,0xAA
0x0BE,0xAC
0x0BF,0xAF
0x0C0,0xB0
0x0C1,0xB2
0x0C2,0xB5
0x0C3,0xB9
0x0C4,0xBD
0x0C5,0xC1
0x0C6,0xC5
0x0C7,0xC8
0x0C8,0xCB
0x0C9,0xCD
0x0CA,0xCE
0x0CB,0xCE
0x0CC,0xCD
0x0CD,0xCC
0x0CE,0xCC
0x0CF,0xCB
0x0D0,0xCC
0x0D1,0xCD
0x0D2,0xCD
0x0D3,0xCD
0x0D4,0xCC
0x0D5,0xCB
0x0D6,0xCB
0x0D7,0xCD
0x0D8,0xD1
0x0D9,0xD7
0x0DA,0xDE
0x0DB,0xE5
0x0DC,0xEC
0x0DD,0xF3
0x0DE,0xF8
0x0DF,0xFC
0x0E0,0xFE
0x0E1,0xFE
0x0E2,0xFC
0x0E3,0xF8
0x0E4,0xF2
0x0E5,0xEB
0x0E6,0xE4
0x0E7,0xDD
0x0E8,0xD5
0x0E9,0xCE
0x0EA,0xC6
0x0EB,0xBF
0x0EC,0xBA
0x0ED,0xB5
0x0EE,0xB2
0x0EF,0xAE
0x0F0,0xA8
0x0F1,0xA0
0x0F2,0x97
0x0F3,0x8E
0x0F4,0x86
0x0F5,0x7F
0x0F6,0x78
0x0F7,0x73
0x0F8,0x6F
0x0F9,0x6B
0x0FA,0x68
0x0FB,0x66
0x0FC,0x63
0x0FD,0x60
0x0FE,0x5A
0x0FF,0x53
0x100,0x4C
0x101,0x45
0x102,0x3E
0x103,0x39
0x104,0x34
0x105,0x31
0x106,0x2E
0x107,0x2C
0x108,0x2A
0x109,0x28
0x10A,0x25
0x10B,0x22
0x10C,0x1F
0x10D,0x19
0x10E,0x14
0x10F,0x10
0x110,0x0D
0x111,0x0D
0x112,0x0F
0x113,0x12
0x114,0x16
0x115,0x1B
0x116,0x20
0x117,0x24
0x118,0x29
0x119,0x2C
0x11A,0x2D
0x11B,0x2D
0x11C,0x2B
0x11D,0x2A
0x11E,0x2A
0x11F,0x2D
0x120,0x33
0x121,0x3B
0x122,0x45
0x123,0x4E
0x124,0x55
0x125,0x59
0x126,0x5A
0x127,0x5A
0x128,0x59
0x129,0x58
0x12A,0x58
0x12B,0x59
0x12C,0x5B
0x12D,0x5C
0x12E,0x5E
0x12F,0x61
0x130,0x64
0x131,0x69
0x132,0x6E
0x133,0x72
0x134,0x75
0x135,0x76
0x136,0x73
0x137,0x6E
0x138,0x68
0x139,0x63
0x13A,0x60
0x13B,0x62
0x13C,0x66
0x13D,0x6C
0x13E,0x71
0x13F,0x74
0x140,0x74
0x141,0x73
0x142,0x70
0x143,0x6E
0x144,0x6D
0x145,0x6C
0x146,0x6C
0x147,0x6C
0x148,0x6C
0x149,0x6E
0x14A,0x71
0x14B,0x75
0x14C,0x7A
0x14D,0x7D
0x14E,0x7F
0x14F,0x7E
0x150,0x7B
0x151,0x76
0x152,0x70
0x153,0x6B
0x154,0x67
0x155,0x64
0x156,0x62
0x157,0x63
0x158,0x66
0x159,0x68
0x15A,0x6B
0x15B,0x6D
0x15C,0x6F
0x15D,0x73
0x15E,0x77
0x15F,0x7C
0x160,0x80
0x161,0x82
0x162,0x84
0x163,0x86
0x164,0x8A
0x165,0x8F
0x166,0x95
0x167,0x99
0x168,0x9B
0x169,0x9A
0x16A,0x98
0x16B,0x94
0x16C,0x92
0x16D,0x90
0x16E,0x8F
0x16F,0x90
0x170,0x92
0x171,0x94
0x172,0x96
0x173,0x98
0x174,0x99
0x175,0x9B
0x176,0x9D
0x177,0x9F
0x178,0xA1
0x179,0xA3
0x17A,0xA4
0x17B,0xA6
0x17C,0xA7
0x17D,0xA9
0x17E,0xAA
0x17F,0xAC
0x180,0xAE
0x181,0xB1
0x182,0xB5
0x183,0xBA
0x184,0xBF
0x185,0xC3
0x186,0xC5
0x187,0xC6
0x188,0xC7
0x189,0xC9
0x18A,0xCA
0x18B,0xCC
0x18C,0xCE
0x18D,0xCF
0x18E,0xCE
0x18F,0xCD
0x190,0xCC
0x191,0xCA
0x192,0xC9
0x193,0xC7
0x194,0xC6
0x195,0xC6
0x196,0xC7
0x197,0xCA
0x198,0xD0
0x199,0xD6
0x19A,0xDE
0x19B,0xE5
0x19C,0xEB
0x19D,0xF1
0x19E,0xF6
0x19F,0xFA
0x1A0,0xFD
0x1A1,0xFD
0x1A2,0xFB
0x1A3,0xF6
0x1A4,0xEF
0x1A5,0xE8
0x1A6,0xE2
0x1A7,0xDB
0x1A8,0xD6
0x1A9,0xD0
0x1AA,0xCB
0x1AB,0xC6
0x1AC,0xC2
0x1AD,0xBD
0x1AE,0xB8
0x1AF,0xB2
0x1B0,0xA9
0x1B1,0xA0
0x1B2,0x96
0x1B3,0x8E
0x1B4,0x86
0x1B5,0x80
0x1B6,0x7C
0x1B7,0x78
0x1B8,0x74
0x1B9,0x71
0x1BA,0x6D
0x1BB,0x69
0x1BC,0x65
0x1BD,0x5F
0x1BE,0x59
0x1BF,0x51
