file,class,std,autocorr,entropy,f0
../data/addr_000011/samples/audios/raw_audio/1_raw_data_0000011.wav,audio,19561.9,0.863,3.85,91.5
../data/addr_000011/samples/audios/raw_audio/2_raw_audio_0000011.wav,audio,19185.1,0.862,4.25,121.1
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_0.wav,audio,17413.6,0.386,3.62,2756.2
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_64.wav,audio,13906.6,0.399,3.1,2756.2
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_128.wav,audio,18369.7,0.417,3.48,344.5
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_192.wav,audio,22975.0,0.314,2.24,2756.2
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_256.wav,noise,20838.0,0.1,3.0,0
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_320.wav,noise,22059.4,0.071,2.71,0
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_384.wav,audio,14646.9,0.467,3.04,516.8
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_448.wav,audio,11486.5,0.382,1.02,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_512.wav,audio,17413.6,0.386,3.62,2756.2
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_576.wav,audio,13906.6,0.399,3.1,2756.2
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_640.wav,audio,18369.7,0.417,3.48,344.5
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_704.wav,audio,22975.0,0.314,2.24,2756.2
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_768.wav,noise,20838.0,0.1,3.0,0
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_832.wav,noise,22059.4,0.071,2.71,0
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_896.wav,audio,14646.9,0.467,3.04,516.8
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_960.wav,audio,11486.5,0.382,1.02,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1024.wav,audio,16819.3,0.923,5.39,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1088.wav,audio,17799.4,0.948,5.19,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1152.wav,audio,12233.6,0.903,4.82,344.5
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1216.wav,audio,16116.8,0.914,5.58,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1280.wav,audio,13020.8,0.932,3.64,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1344.wav,audio,17162.1,0.921,5.43,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1408.wav,audio,20157.6,0.881,5.07,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1472.wav,audio,11729.8,0.743,5.13,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1536.wav,audio,16819.3,0.923,5.39,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1600.wav,audio,17799.4,0.948,5.19,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1664.wav,audio,12233.6,0.903,4.82,344.5
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1728.wav,audio,16116.8,0.914,5.58,172.3
../data/addr_000011/samples/audios/audio_out/chunk_64/sample_1792.wav,audio,13020.8,0.932,3.64,172.3
