ADDR,DATA
0x0000,0x8100
0x0001,0x8090
0x0002,0x7F80
0x0003,0x7E10
0x0004,0x7CC0
0x0005,0x7BE0
0x0006,0x7B20
0x0007,0x7A20
0x0008,0x7810
0x0009,0x7440
0x000A,0x6E90
0x000B,0x67E0
0x000C,0x6170
0x000D,0x5CA0
0x000E,0x59B0
0x000F,0x5860
0x0010,0x5860
0x0011,0x5920
0x0012,0x5A00
0x0013,0x5A70
0x0014,0x5B70
0x0015,0x5DC0
0x0016,0x62A0
0x0017,0x6970
0x0018,0x71F0
0x0019,0x7A40
0x001A,0x82C0
0x001B,0x8AF0
0x001C,0x9260
0x001D,0x98A0
0x001E,0x9D10
0x001F,0x9EF0
0x0020,0x9DC0
0x0021,0x9980
0x0022,0x9340
0x0023,0x8CB0
0x0024,0x87E0
0x0025,0x8580
0x0026,0x8640
0x0027,0x8930
0x0028,0x8D40
0x0029,0x9180
0x002A,0x9520
0x002B,0x9860
0x002C,0x9B20
0x002D,0x9D10
0x002E,0x9DA0
0x002F,0x9D50
0x0030,0x9D30
0x0031,0x9E30
0x0032,0xA170
0x0033,0xA720
0x0034,0xAEB0
0x0035,0xB600
0x0036,0xBB70
0x0037,0xBEA0
0x0038,0xBF60
0x0039,0xBE60
0x003A,0xBB70
0x003B,0xB730
0x003C,0xB210
0x003D,0xAC10
0x003E,0xA4F0
0x003F,0x9C30
0x0040,0x9260
0x0041,0x8950
0x0042,0x8350
0x0043,0x8190
0x0044,0x8370
0x0045,0x8740
0x0046,0x8B60
0x0047,0x8E20
0x0048,0x8EB0
0x0049,0x8D60
0x004A,0x8B30
0x004B,0x8930
0x004C,0x8800
0x004D,0x8850
0x004E,0x89E0
0x004F,0x8B80
0x0050,0x8B10
0x0051,0x8770
0x0052,0x8020
0x0053,0x76C0
0x0054,0x6CD0
0x0055,0x63F0
0x0056,0x5C30
0x0057,0x5650
0x0058,0x5260
0x0059,0x50C0
0x005A,0x51A0
0x005B,0x5500
0x005C,0x5A70
0x005D,0x61C0
0x005E,0x6900
0x005F,0x6F30
0x0060,0x7360
0x0061,0x7600
0x0062,0x7710
0x0063,0x7710
0x0064,0x7670
0x0065,0x7590
0x0066,0x7360
0x0067,0x7030
0x0068,0x6D20
0x0069,0x6B80
0x006A,0x6CD0
0x006B,0x7080
0x006C,0x7490
0x006D,0x77D0
0x006E,0x7990
0x006F,0x7C00
0x0070,0x8140
0x0071,0x8B60
0x0072,0x9AD0
0x0073,0xAF20
0x0074,0xC560
0x0075,0xDA20
0x0076,0xEA00
0x0077,0xF260
0x0078,0xF2D0
0x0079,0xECF0
0x007A,0xE290
0x007B,0xD500
0x007C,0xC5D0
0x007D,0xB5C0
0x007E,0xA680
0x007F,0x9980
0x0080,0x9000
0x0081,0x8A80
0x0082,0x8790
0x0083,0x8640
0x0084,0x8510
0x0085,0x84F0
0x0086,0x8640
0x0087,0x8A80
0x0088,0x91A0
0x0089,0x9A20
0x008A,0xA220
0x008B,0xA720
0x008C,0xA7B0
0x008D,0xA3A0
0x008E,0x9C30
0x008F,0x9320
0x0090,0x89E0
0x0091,0x8170
0x0092,0x7960
0x0093,0x7210
0x0094,0x6C10
0x0095,0x6890
0x0096,0x68C0
0x0097,0x6C90
0x0098,0x72F0
0x0099,0x7A90
0x009A,0x8100
0x009B,0x8540
0x009C,0x8700
0x009D,0x8720
0x009E,0x85D0
0x009F,0x83E0
0x00A0,0x8140
0x00A1,0x7DC0
0x00A2,0x78F0
0x00A3,0x72F0
0x00A4,0x6C60
0x00A5,0x6620
0x00A6,0x6060
0x00A7,0x5B70
0x00A8,0x56A0
0x00A9,0x51D0
0x00AA,0x4D70
0x00AB,0x49E0
0x00AC,0x4740
0x00AD,0x45B0
0x00AE,0x44D0
0x00AF,0x4430
0x00B0,0x4480
0x00B1,0x4540
0x00B2,0x4690
0x00B3,0x4820
0x00B4,0x4930
