file,class,std,autocorr,entropy,f0
../data/addr_000001/samples/audios/raw_audio/1_raw_audio_0000001.wav,audio,4911.1,0.336,1.04,129.2
../data/addr_000001/samples/audios/raw_audio/2_raw_audio_0000001.wav,noise,6607.9,0.288,3.58,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_0.wav,noise,9363.4,-0.082,0.71,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_64.wav,noise,6658.0,-0.116,0.91,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_128.wav,noise,11199.1,-0.201,0.88,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_192.wav,noise,10239.8,-0.181,0.89,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_256.wav,noise,4627.7,-0.033,0.55,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_320.wav,noise,8172.1,-0.147,0.82,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_384.wav,noise,7284.2,0.006,0.72,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_448.wav,noise,9248.0,-0.076,0.72,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_512.wav,noise,9363.4,-0.082,0.71,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_576.wav,noise,6658.0,-0.116,0.91,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_640.wav,noise,11199.1,-0.201,0.88,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_704.wav,noise,10239.8,-0.181,0.89,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_768.wav,noise,4627.7,-0.033,0.55,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_832.wav,noise,8172.1,-0.147,0.82,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_896.wav,noise,7284.2,0.006,0.72,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_960.wav,noise,9248.0,-0.076,0.72,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1024.wav,noise,5864.4,-0.034,0.32,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1088.wav,noise,6695.0,-0.093,0.93,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1152.wav,noise,11319.3,-0.288,1.25,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1216.wav,noise,9383.1,-0.247,0.89,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1280.wav,noise,8203.8,-0.066,0.55,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1344.wav,noise,10141.0,-0.061,1.21,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1408.wav,noise,7225.0,-0.026,0.71,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1536.wav,noise,5864.4,-0.034,0.32,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1600.wav,noise,6695.0,-0.093,0.93,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1664.wav,noise,11319.3,-0.288,1.25,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1728.wav,noise,9383.1,-0.247,0.89,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1792.wav,noise,8203.8,-0.066,0.55,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1856.wav,noise,10141.0,-0.061,1.21,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_1920.wav,noise,7225.0,-0.026,0.71,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2048.wav,audio,7949.6,0.458,0.39,344.5
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2112.wav,audio,18911.3,0.36,2.81,689.1
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2176.wav,noise,11483.2,0.262,1.49,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2240.wav,audio,8328.3,0.468,0.39,344.5
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2304.wav,audio,13974.9,0.716,1.74,172.3
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2368.wav,audio,10386.3,0.449,0.51,689.1
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2432.wav,audio,9171.8,0.333,0.86,689.1
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2496.wav,audio,17981.9,0.703,2.79,344.5
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2560.wav,audio,7949.6,0.458,0.39,344.5
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2624.wav,audio,18911.3,0.36,2.81,689.1
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2688.wav,noise,11483.2,0.262,1.49,0
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2752.wav,audio,8328.3,0.468,0.39,344.5
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2816.wav,audio,13974.9,0.716,1.74,172.3
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2880.wav,audio,10386.3,0.449,0.51,689.1
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_2944.wav,audio,9171.8,0.333,0.86,689.1
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_3008.wav,audio,17981.9,0.703,2.79,344.5
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_3072.wav,audio,7096.1,0.423,0.43,344.5
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_3136.wav,audio,8636.2,0.424,0.77,689.1
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_3200.wav,audio,7716.4,0.458,0.43,689.1
../data/addr_000001/samples/audios/audio_out/chunk_64/sample_3264.wav,noise,6134.7,0.239,0.35,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_0.wav,noise,5786.3,-0.098,0.81,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_64.wav,noise,9135.9,-0.155,0.97,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_128.wav,noise,10725.4,-0.191,0.89,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_192.wav,noise,7861.0,-0.101,0.78,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_256.wav,noise,6619.2,-0.086,0.74,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_320.wav,noise,6256.6,-0.087,0.81,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_384.wav,noise,8170.3,-0.041,0.77,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_448.wav,noise,9235.0,-0.079,0.78,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_512.wav,noise,5786.3,-0.098,0.81,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_576.wav,noise,9135.9,-0.155,0.97,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_640.wav,noise,10725.4,-0.191,0.89,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_704.wav,noise,7861.0,-0.101,0.78,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_768.wav,noise,6619.2,-0.086,0.74,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_832.wav,noise,6256.6,-0.087,0.81,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_896.wav,noise,8170.3,-0.041,0.77,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_960.wav,noise,7621.9,-0.052,0.58,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1024.wav,noise,5190.4,-0.052,0.72,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1088.wav,noise,9233.0,-0.189,1.18,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1152.wav,noise,10378.3,-0.267,1.18,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1216.wav,noise,7268.7,-0.146,0.83,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1280.wav,noise,9060.8,-0.059,0.99,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1344.wav,noise,8654.8,-0.039,1.02,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1408.wav,noise,5048.2,0.002,0.41,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1472.wav,noise,4114.0,-0.016,0.18,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1536.wav,noise,5190.4,-0.052,0.72,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1600.wav,noise,9233.0,-0.189,1.18,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1664.wav,noise,10378.3,-0.267,1.18,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1728.wav,noise,7268.7,-0.146,0.83,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1792.wav,noise,9060.8,-0.059,0.99,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1856.wav,noise,8654.8,-0.039,1.02,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1920.wav,noise,5048.2,0.002,0.41,0
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_1984.wav,audio,5540.5,0.476,0.23,344.5
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2048.wav,audio,14093.0,0.491,1.91,86.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2112.wav,audio,15404.3,0.377,2.26,86.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2176.wav,audio,9989.7,0.355,1.04,86.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2240.wav,audio,11404.2,0.656,1.23,86.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2304.wav,audio,12290.1,0.617,1.3,172.3
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2368.wav,audio,9671.7,0.399,0.78,689.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2432.wav,audio,14053.0,0.639,2.09,86.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2496.wav,audio,13326.8,0.694,1.9,344.5
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2560.wav,audio,14093.0,0.491,1.91,86.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2624.wav,audio,15404.3,0.377,2.26,86.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2688.wav,audio,9989.7,0.355,1.04,86.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2752.wav,audio,11404.2,0.656,1.23,86.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2816.wav,audio,12290.1,0.617,1.3,172.3
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2880.wav,audio,9671.7,0.399,0.78,689.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_2944.wav,audio,14053.0,0.639,2.09,86.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_3008.wav,audio,13178.2,0.714,1.93,86.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_3072.wav,audio,7595.4,0.426,0.66,689.1
../data/addr_000001/samples/audios/audio_out/chunk_128/sample_3136.wav,audio,8177.4,0.44,0.65,689.1
