file,class,std,autocorr,entropy,f0
../data/addr_100010/samples/audios/raw_audio/1_raw_audio_100010.wav,audio,23967.0,0.926,0.96,161.5
../data/addr_100010/samples/audios/raw_audio/2_raw_audio_100010.wav,audio,23775.1,0.94,1.23,58.6
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_0.wav,audio,16378.2,0.949,5.13,516.8
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_64.wav,audio,20024.3,0.994,5.18,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_128.wav,audio,19399.2,0.951,4.77,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_192.wav,audio,15626.1,0.867,5.16,516.8
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_256.wav,audio,16529.3,0.956,4.95,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_320.wav,audio,21456.6,0.981,4.68,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_384.wav,audio,14440.8,0.983,4.66,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_448.wav,audio,16818.8,0.975,5.18,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_512.wav,audio,16378.2,0.949,5.13,516.8
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_576.wav,audio,20024.3,0.994,5.18,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_640.wav,audio,19399.2,0.951,4.77,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_704.wav,audio,15626.1,0.867,5.16,516.8
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_768.wav,audio,16529.3,0.956,4.95,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_832.wav,audio,21456.6,0.981,4.68,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_896.wav,audio,14440.8,0.983,4.66,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_960.wav,audio,16818.8,0.975,5.18,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1024.wav,audio,18941.1,0.982,5.21,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1088.wav,audio,13668.2,0.954,5.08,516.8
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1152.wav,audio,18892.2,0.994,5.31,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1216.wav,audio,14444.6,0.933,5.24,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1280.wav,audio,15912.1,0.9,5.03,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1344.wav,audio,16076.9,0.976,4.97,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1408.wav,audio,18134.9,0.967,4.82,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1472.wav,audio,11608.8,0.961,4.99,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1536.wav,audio,18941.1,0.982,5.21,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1600.wav,audio,13668.2,0.954,5.08,516.8
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1664.wav,audio,18892.2,0.994,5.31,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1728.wav,audio,14444.6,0.933,5.24,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1792.wav,audio,15912.1,0.9,5.03,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1856.wav,audio,16076.9,0.976,4.97,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1920.wav,audio,18134.9,0.967,4.82,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_1984.wav,audio,11608.8,0.961,4.99,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2048.wav,audio,15211.5,0.99,4.92,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2112.wav,audio,15878.2,0.985,4.87,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2176.wav,audio,13113.1,0.963,4.93,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2240.wav,audio,21481.3,0.992,5.39,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2304.wav,audio,9458.6,0.921,4.67,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2368.wav,audio,13637.7,0.925,4.8,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2432.wav,audio,15070.8,0.962,5.12,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2496.wav,audio,16193.3,0.952,4.4,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2560.wav,audio,15211.5,0.99,4.92,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2624.wav,audio,15878.2,0.985,4.87,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2688.wav,audio,13113.1,0.963,4.93,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2752.wav,audio,21481.3,0.992,5.39,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2816.wav,audio,9458.6,0.921,4.67,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2880.wav,audio,13637.7,0.925,4.8,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_2944.wav,audio,15070.8,0.962,5.12,344.5
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_3008.wav,audio,16193.3,0.952,4.4,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_3072.wav,audio,20618.1,0.992,5.05,172.3
../data/addr_100010/samples/audios/audio_out/chunk_64/sample_3136.wav,audio,15255.1,0.985,4.82,172.3
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_0.wav,audio,13493.5,0.993,5.17,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_64.wav,audio,17090.9,0.978,5.3,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_128.wav,audio,17186.7,0.99,5.47,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_192.wav,audio,11971.2,0.938,5.33,430.7
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_256.wav,audio,14551.1,0.975,5.01,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_320.wav,audio,15095.2,0.987,5.02,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_384.wav,audio,16444.1,0.987,5.47,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_448.wav,audio,15227.4,0.969,5.46,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_512.wav,audio,13493.5,0.993,5.17,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_576.wav,audio,17090.9,0.978,5.3,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_640.wav,audio,17186.7,0.99,5.47,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_704.wav,audio,11971.2,0.938,5.33,430.7
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_768.wav,audio,14551.1,0.975,5.01,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_832.wav,audio,15095.2,0.987,5.02,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_896.wav,audio,16444.1,0.987,5.47,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_960.wav,audio,17038.6,0.97,5.63,258.4
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1024.wav,audio,14473.6,0.982,5.41,172.3
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1088.wav,audio,12834.8,0.994,5.23,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1152.wav,audio,15072.0,0.973,5.49,172.3
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1216.wav,audio,15662.3,0.99,5.59,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1280.wav,audio,12372.3,0.942,5.19,430.7
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1344.wav,audio,12575.7,0.972,4.9,172.3
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1408.wav,audio,13321.3,0.991,5.23,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1472.wav,audio,12563.4,0.93,5.48,172.3
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1536.wav,audio,14473.6,0.982,5.41,172.3
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1600.wav,audio,12834.8,0.994,5.23,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1664.wav,audio,15072.0,0.973,5.49,172.3
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1728.wav,audio,15662.3,0.99,5.59,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1792.wav,audio,12372.3,0.942,5.19,430.7
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1856.wav,audio,12575.7,0.972,4.9,172.3
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1920.wav,audio,13321.3,0.991,5.23,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_1984.wav,audio,12052.2,0.975,5.26,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_2048.wav,audio,12223.5,0.989,5.15,86.1
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_2112.wav,audio,14333.7,0.985,5.22,172.3
../data/addr_100010/samples/audios/audio_out/chunk_128/sample_2176.wav,audio,14048.1,0.993,5.16,86.1
