file,class,std,autocorr,entropy,f0
../data/addr_000100/samples/audios/raw_audio/1_raw_audio_0000100.wav,audio,23082.9,0.914,2.32,344.5
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_0.wav,audio,16513.4,0.98,5.17,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_64.wav,audio,18633.8,0.673,5.34,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_128.wav,audio,21863.3,0.968,4.24,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_256.wav,audio,20803.2,0.962,5.36,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_320.wav,audio,12843.0,0.972,5.05,344.5
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_384.wav,audio,16595.9,0.977,4.67,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_448.wav,audio,12599.1,0.918,4.91,344.5
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_512.wav,audio,16513.4,0.98,5.17,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_576.wav,audio,18633.8,0.673,5.34,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_640.wav,audio,21863.3,0.968,4.24,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_768.wav,audio,20803.2,0.962,5.36,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_832.wav,audio,12843.0,0.972,5.05,344.5
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_896.wav,audio,16595.9,0.977,4.67,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_960.wav,audio,12599.1,0.918,4.91,344.5
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_1024.wav,audio,11503.9,0.782,4.11,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_1088.wav,audio,11222.9,0.748,4.13,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_1152.wav,audio,12949.2,0.715,4.31,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_1216.wav,audio,13005.5,0.655,4.24,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_1280.wav,audio,11837.1,0.602,4.47,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_1344.wav,audio,12034.9,0.795,4.65,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_1408.wav,audio,13520.2,0.787,4.57,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_1472.wav,audio,12908.2,0.738,4.68,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_1536.wav,audio,11503.9,0.782,4.11,172.3
../data/addr_000100/samples/audios/audio_out/chunk_64/sample_1600.wav,audio,11222.9,0.748,4.13,172.3
